"reference","reference href","cite-bracket","cite-bracket 2","mw-heading","mw-editsection-bracket","mw-editsection href","mw-editsection","mw-editsection-bracket 2","headerSort","headerSort 2","headerSort 3","headerSort 4","headerSort 5","unsortable","unsortable 2","fn","vcard","category","note","fn 2","mw-redirect 2","mw-redirect href 2","category 2","fn 3","vcard 4","mw-redirect 3","mw-redirect href 3","category 3","fn 4","mw-redirect 4","mw-redirect href 4","fn 5","vcard 8","mw-redirect 6","mw-redirect href 6","category 5","fn 6","vcard 9","category 6","reference 2","reference href 2","cite-bracket 3","cite-bracket 4","fn 7","vcard 11","mw-redirect 7","mw-redirect href 7","reference 3","reference href 3","fn 8","vcard 13","mw-redirect 8","mw-redirect href 8","category 8","fn 9","vcard 15","mw-redirect 9","mw-redirect href 9","fn 10","vcard 17","mw-redirect 10","mw-redirect href 10","fn 11","vcard 19","mw-redirect 11","mw-redirect href 11","fn 12","mw-redirect 12","mw-redirect href 12","fn 13","mw-redirect 13","mw-redirect href 13","fn 14","vcard 25","mw-redirect 15","mw-redirect href 15","category 14","fn 15","vcard 26","mw-redirect 16","mw-redirect href 16","category 15","fn 16","mw-redirect 18","mw-redirect href 18","fn 17","vcard 28","mw-redirect 19","mw-redirect href 19","fn 18","mw-redirect 20","mw-redirect href 20","category 18","fn 19","vcard 32","mw-redirect 21","mw-redirect href 21","fn 20","vcard 34","mw-redirect 22","mw-redirect href 22","fn 21","mw-redirect 23","mw-redirect href 23","category 21","fn 22","vcard 38","mw-redirect 24","mw-redirect href 24","category 22","fn 23","vcard 40","vcard 41","mw-redirect 25","mw-redirect href 25","category 23","fn 24","vcard 42","vcard 43","mw-redirect 26","mw-redirect href 26","category 24","fn 25","vcard 44","mw-redirect 28","mw-redirect href 28","category 25","fn 26","mw-redirect 29","mw-redirect href 29","category 26","fn 27","vcard 46","mw-redirect 30","mw-redirect href 30","fn 28","vcard 48","mw-redirect 31","mw-redirect href 31","fn 29","vcard 50","mw-redirect 32","mw-redirect href 32","category 29","fn 30","vcard 52","mw-redirect 33","mw-redirect href 33","category 30","fn 31","vcard 54","mw-redirect 35","mw-redirect href 35","fn 32","vcard 55","mw-redirect 36","mw-redirect href 36","fn 33","vcard 57","mw-redirect 38","mw-redirect href 38","fn 34","mw-redirect 39","mw-redirect href 39","category 34","fn 35","fn 36","category 36","fn 37","mw-redirect 41","mw-redirect href 41","category 37","fn 38","mw-redirect 43","mw-redirect href 43","category 38","mw-redirect 45","mw-redirect href 45","mw-redirect 47","mw-redirect href 47","mw-redirect 48","mw-redirect href 48"
"","","","","Alumni chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=4","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-11","[","]","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha Sigma","1915","Active","The first established Alumni Chapter","Alpha Alpha Eta Sigma","Virginia Beach, VA","https://en.wikipedia.org/wiki/Virginia_Beach,_VA","Active","Alpha Kappa Sigma","1940","Petersburg, VA","https://en.wikipedia.org/wiki/Petersburg,_VA","Active","Beta Sigma","Norfolk, VA","https://en.wikipedia.org/wiki/Norfolk,_VA","Beta Upsilon Sigma","1950","Monrovia, Liberia","https://en.wikipedia.org/wiki/Monrovia,_Liberia","Active","Beta Psi Sigma","1952","Active","12","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-12","[","]","Gamma Nu Sigma","1956","Westchester County NY","https://en.wikipedia.org/wiki/Westchester_County_NY","13","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-International-13","Gamma Rho Sigma","1956","Geneva, Switzerland","https://en.wikipedia.org/wiki/Geneva,_Switzerland","Active","Delta Gamma Sigma","","Queens, NY","https://en.wikipedia.org/wiki/Queens,_NY","Delta Iota Sigma","1987","Long Island, NY","https://en.wikipedia.org/wiki/Long_Island,_NY","Delta Pi Sigma","1964","Dover, DE","https://en.wikipedia.org/wiki/Dover,_DE","Epsilon Alpha Sigma","New Haven, CT","https://en.wikipedia.org/wiki/New_Haven,_CT","Epsilon Iota Sigma","Hartford, CT","https://en.wikipedia.org/wiki/Hartford,_CT","Epsilon Nu Sigma","1972","St. Thomas, Virgin Islands","https://en.wikipedia.org/wiki/St._Thomas,_Virgin_Islands","Active","Epsilon Pi Sigma","","St. Croix, Virgin Islands","https://en.wikipedia.org/wiki/St._Croix,_Virgin_Islands","Inactive","Epsilon Sigma","Baltimore County, MD","https://en.wikipedia.org/wiki/Baltimore_County,_MD","Zeta Rho Sigma","1978","Harlem, NY","https://en.wikipedia.org/wiki/Harlem,_NY","Zeta Sigma","Camden County, NJ","https://en.wikipedia.org/wiki/Camden_County,_NJ","Active","Zeta Alpha Sigma","1976","Baltimore, MD","https://en.wikipedia.org/wiki/Baltimore,_MD","Zeta Kappa Sigma","1977","Metropolitan Boston","https://en.wikipedia.org/wiki/Metropolitan_Boston","Zeta Lambda Sigma","Charleston, WV","https://en.wikipedia.org/wiki/Charleston,_WV","Inactive","Zeta Chi Sigma","1978","Prince George's County, MD","https://en.wikipedia.org/wiki/Prince_George%27s_County,_MD","Active","Zeta Psi Sigma","","1920","Washington, D.C. metropolitan area","https://en.wikipedia.org/wiki/Washington,_D.C._metropolitan_area","Active","Eta Gamma Sigma","1984","1923","Syracuse, NY","https://en.wikipedia.org/wiki/Syracuse,_NY","Active","Eta Phi Sigma","1984","Lagos, Nigeria","https://en.wikipedia.org/wiki/Lagos,_Nigeria","Active","Theta Sigma","Jersey City, NJ","https://en.wikipedia.org/wiki/Jersey_City,_NJ","Active","Theta Tau Sigma","1983","Buffalo, NY","https://en.wikipedia.org/wiki/Buffalo,_NY","Iota Gamma Sigma","1985","Richmond, VA","https://en.wikipedia.org/wiki/Richmond,_VA","Iota Sigma","","Brooklyn, NY","https://en.wikipedia.org/wiki/Brooklyn,_NY","Active","Kappa Beta Sigma","1928","Fayetteville, AR","https://en.wikipedia.org/wiki/Fayetteville,_AR","Active","Kappa Upsilon Sigma","1996","Suffolk County, NY","https://en.wikipedia.org/wiki/Suffolk_County,_NY","Kappa Omega Sigma","1999","Nassau County, NY","https://en.wikipedia.org/wiki/Nassau_County,_NY","Lambda Lambda Sigma","2001","Long Island, NY","https://en.wikipedia.org/wiki/Long_Island,_NY","Phi Sigma","Albany, NY","https://en.wikipedia.org/wiki/Albany,_NY","Active","Mu Delta Sigma","Mu Iota Sigma","Active","Nu Sigma","Philadelphia, PA","https://en.wikipedia.org/wiki/Philadelphia,_PA","Active","Omicron Delta Sigma","Prince William County, VA","https://en.wikipedia.org/wiki/Prince_William_County,_VA","Active","Cecil County, MD","https://en.wikipedia.org/wiki/Cecil_County,_MD","Chester County, PA","https://en.wikipedia.org/wiki/Chester_County,_PA","Montgomery County, PA","https://en.wikipedia.org/wiki/Montgomery_County,_PA"
"","","","","Great Lakes","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=5","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Collegiate chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=6","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-IllinoisSigmas-32","[","]","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha Alpha","1927","Active","This chapter includes , , and","Alpha Alpha Beta","Wilberforce, OH","https://en.wikipedia.org/wiki/Wilberforce,_OH","Active","Alpha Alpha Kappa","1993","Chicago, IL","https://en.wikipedia.org/wiki/Chicago,_IL","Inactive","Alpha Alpha Nu","Waterloo, IA","https://en.wikipedia.org/wiki/Waterloo,_IA","Alpha Beta Kappa","April 24th, 2000","Morehead, KY","https://en.wikipedia.org/wiki/Morehead,_KY","Active","Alpha Beta Mu","February 4, 2000","Active","32","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-IllinoisSigmas-32","[","]","Alpha Beta Omicron","Indianapolis Citywide","Oxford, OH","https://en.wikipedia.org/wiki/Oxford,_OH","33","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-33","Alpha Beta Rho","April 28, 2000","Dayton, OH","https://en.wikipedia.org/wiki/Dayton,_OH","Active","Alpha Epsilon Alpha","April 15, 1995","Elmhurst, IL","https://en.wikipedia.org/wiki/Elmhurst,_IL","Alpha Rho Alpha","","Highland Heights, KY","https://en.wikipedia.org/wiki/Highland_Heights,_KY","Beta Beta Xi","2005","Indianapolis, IN","https://en.wikipedia.org/wiki/Indianapolis,_IN","Beta Nu","Gary, IN","https://en.wikipedia.org/wiki/Gary,_IN","Gamma Alpha Iota","Louisville, KY","https://en.wikipedia.org/wiki/Louisville,_KY","Gamma Alpha Omicron","2010","Cleveland, OH","https://en.wikipedia.org/wiki/Cleveland,_OH","Active","Gamma Eta Gamma","2015","Cincinnati, OH","https://en.wikipedia.org/wiki/Cincinnati,_OH","Active","Gamma Iota","Winona, MN","https://en.wikipedia.org/wiki/Winona,_MN","Gamma Mu Gamma","May 19, 2016","Quincy, IL","https://en.wikipedia.org/wiki/Quincy,_IL","Gamma Rho Eta","Detroit, MI","https://en.wikipedia.org/wiki/Detroit,_MI","Active","Delta Kappa","1967","Belleville, IL","https://en.wikipedia.org/wiki/Belleville,_IL","Delta Omicron","1969","Lebanon, IL","https://en.wikipedia.org/wiki/Lebanon,_IL","Delta Rho","East Lansing, MI","https://en.wikipedia.org/wiki/East_Lansing,_MI","Active","Delta Tau","1967","Columbus, OH","https://en.wikipedia.org/wiki/Columbus,_OH","Active","Delta Chi","1967","November 7, 1950","Ann Arbor, MI","https://en.wikipedia.org/wiki/Ann_Arbor,_MI","Suspended","Epsilon Gamma","May 1, 1970","1971","Carbondale, IL","https://en.wikipedia.org/wiki/Carbondale,_IL","Active","Epsilon Epsilon","1971","Charleston, IL","https://en.wikipedia.org/wiki/Charleston,_IL","Active","Epsilon Theta","DeKalb, IL","https://en.wikipedia.org/wiki/DeKalb,_IL","Active","Epsilon Iota","January 3, 1972","Kent, OH","https://en.wikipedia.org/wiki/Kent,_OH","Epsilon Mu","1972","Bowling Green, KY","https://en.wikipedia.org/wiki/Bowling_Green,_KY","Epsilon Xi","May 19, 1972","Bloomington, IN","https://en.wikipedia.org/wiki/Bloomington,_IN","Active","Epsilon Omicron","1972","Flint, MI","https://en.wikipedia.org/wiki/Flint,_MI","Active","Epsilon Pi","1972","Champaign, IL","https://en.wikipedia.org/wiki/Champaign,_IL","Epsilon Phi","1973","Athens, OH","https://en.wikipedia.org/wiki/Athens,_OH","Epsilon Chi","1973","Edwardsville, IL","https://en.wikipedia.org/wiki/Edwardsville,_IL","Zeta Delta","Bowling Green, OH","https://en.wikipedia.org/wiki/Bowling_Green,_OH","Active","Zeta Epsilon","Zeta Theta","Active","Zeta Mu","Normal, IL","https://en.wikipedia.org/wiki/Normal,_IL","Active","Zeta Phi","Kalamazoo, MI","https://en.wikipedia.org/wiki/Kalamazoo,_MI","Active","Ypsilanti, MI","https://en.wikipedia.org/wiki/Ypsilanti,_MI","Big Rapids, MI","https://en.wikipedia.org/wiki/Big_Rapids,_MI","Peoria, IL","https://en.wikipedia.org/wiki/Peoria,_IL"
"","","","","Alumni chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=7","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-42","[","]","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha Alpha Beta Sigma","1991","Active","First alumni chapter in the state of Illinois.","Alpha Rho Sigma","Detroit, MI","https://en.wikipedia.org/wiki/Detroit,_MI","Active","Beta Xi Sigma","May 20, 1949","Grand Rapids, MI","https://en.wikipedia.org/wiki/Grand_Rapids,_MI","Active","Beta Omicron Sigma","Dayton, OH","https://en.wikipedia.org/wiki/Dayton,_OH","Gamma Alpha Sigma","1951","Columbus, OH","https://en.wikipedia.org/wiki/Columbus,_OH","Active","Delta Theta Sigma","February 1, 1962","Active","43","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-43","[","]","Delta Xi Sigma","March 19, 1963","Cleveland, OH","https://en.wikipedia.org/wiki/Cleveland,_OH","44","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-44","Delta Rho Sigma","","Cincinnati, OH","https://en.wikipedia.org/wiki/Cincinnati,_OH","Active","Epsilon Beta Sigma","1928","Milwaukee, WI","https://en.wikipedia.org/wiki/Milwaukee,_WI","Epsilon Zeta Sigma","","Akron, OH","https://en.wikipedia.org/wiki/Akron,_OH","Epsilon Eta Sigma","","Louisville, KY","https://en.wikipedia.org/wiki/Louisville,_KY","Epsilon Lambda Sigma","Merrillville, IN","https://en.wikipedia.org/wiki/Merrillville,_IN","Epsilon Mu Sigma","Kankakee, IL","https://en.wikipedia.org/wiki/Kankakee,_IL","Epsilon Rho Sigma","","East St. Louis, IL","https://en.wikipedia.org/wiki/East_St._Louis,_IL","Inactive","Epsilon Tau Sigma","","Champaign, IL","https://en.wikipedia.org/wiki/Champaign,_IL","Active","Epsilon Upsilon Sigma","Peoria, IL","https://en.wikipedia.org/wiki/Peoria,_IL","Epsilon Chi Sigma","April 30, 1976","Lansing, MI","https://en.wikipedia.org/wiki/Lansing,_MI","Zeta Eta Sigma","Aurora, IL","https://en.wikipedia.org/wiki/Aurora,_IL","Active","Zeta Nu Sigma","September 27, 1977","Chicago, IL","https://en.wikipedia.org/wiki/Chicago,_IL","Eta Alpha Sigma","March 30, 1980","Fort Wayne, IN","https://en.wikipedia.org/wiki/Fort_Wayne,_IN","Eta Epsilon Sigma","St. Paul, MN","https://en.wikipedia.org/wiki/St._Paul,_MN","Active","Eta Psi Sigma","July 27, 1981","Frankfort","https://en.wikipedia.org/wiki/Frankfort,_KY","Active","Iota Nu Sigma","2000","","Lexington, KY","https://en.wikipedia.org/wiki/Lexington,_KY","Active","Iota Phi Sigma","July 21, 1987","May 25, 1989","Ames, IA","https://en.wikipedia.org/wiki/Ames,_IA","Active","Kappa Theta Sigma","","Springfield, IL","https://en.wikipedia.org/wiki/Springfield,_IL","Active","Kappa Mu Sigma","Chicago, IL","https://en.wikipedia.org/wiki/Chicago,_IL","Active","Kappa Rho Sigma","","Chicago, IL","https://en.wikipedia.org/wiki/Chicago,_IL","Nu Alpha Sigma","March 28, 2002","Terre Haute, IN","https://en.wikipedia.org/wiki/Terre_Haute,_IN","Nu Gamma Sigma","2002","Bloomington, IL","https://en.wikipedia.org/wiki/Bloomington,_IL","Active","Nu Delta Sigma","","Madison, WI","https://en.wikipedia.org/wiki/Madison,_WI","Active","Nu Zeta Sigma","","Detroit, MI","https://en.wikipedia.org/wiki/Detroit,_MI","Nu Kappa Sigma","","Belleville, IL","https://en.wikipedia.org/wiki/Belleville,_IL","Nu Lambda Sigma","February 26, 2005","Milwaukee, WI","https://en.wikipedia.org/wiki/Milwaukee,_WI","Nu Pi Sigma","Indianapolis, IN","https://en.wikipedia.org/wiki/Indianapolis,_IN","Active","Nu Upsilon Sigma","Nu Phi Sigma","Active","Xi Sigma","DeKalb, IL","https://en.wikipedia.org/wiki/DeKalb,_IL","Active","Xi Beta Sigma","Lake County, IL","https://en.wikipedia.org/wiki/Lake_County,_IL","Active","Rockford, IL","https://en.wikipedia.org/wiki/Rockford,_IL","South Bend, IN","https://en.wikipedia.org/wiki/South_Bend,_IN","Dayton, OH","https://en.wikipedia.org/wiki/Dayton,_OH"
"","","","","Gulf Coast","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=8","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Collegiate chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=9","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-50","[","]","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha Beta Pi","","Active","In 1994, the school became coeducational.","Alpha Kappa","Las Cruces, NM","https://en.wikipedia.org/wiki/Las_Cruces,_NM","Deactivated","Alpha Lambda","1940","Austin, TX","https://en.wikipedia.org/wiki/Austin,_TX","Active","Alpha Lambda Alpha","New Orleans, LA","https://en.wikipedia.org/wiki/New_Orleans,_LA","Beta","November 15, 1915","College Station, TX","https://en.wikipedia.org/wiki/College_Station,_TX","Active","Beta Beta Mu","December 18, 2004","Active","51","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-51","[","]","Beta Beta Omicron","2006","Marshall, TX","https://en.wikipedia.org/wiki/Marshall,_TX","52","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-52","Beta Delta","March 13, 1945","Fort Worth, TX","https://en.wikipedia.org/wiki/Fort_Worth,_TX","Active","Beta Phi","January 19, 1949","San Antonio, TX","https://en.wikipedia.org/wiki/San_Antonio,_TX","Gamma Alpha Kappa","2009","Houston, TX","https://en.wikipedia.org/wiki/Houston,_TX","Gamma Alpha Nu","2010","Tyler, TX","https://en.wikipedia.org/wiki/Tyler,_TX","Gamma Kappa","Denton, TX","https://en.wikipedia.org/wiki/Denton,_TX","Gamma Mu","Las Vegas, NM","https://en.wikipedia.org/wiki/Las_Vegas,_NM","Delta Eta","November 5, 1966","Dallas, TX","https://en.wikipedia.org/wiki/Dallas,_TX","Active","Delta Theta","1966","Marshall, TX","https://en.wikipedia.org/wiki/Marshall,_TX","Active","Epsilon Alpha","New Orleans, LA","https://en.wikipedia.org/wiki/New_Orleans,_LA","Epsilon Zeta","1971","Prairie View, TX","https://en.wikipedia.org/wiki/Prairie_View,_TX","Epsilon Eta","New Orleans, LA","https://en.wikipedia.org/wiki/New_Orleans,_LA","Active","Epsilon Nu","March 17, 1972","Hawkins, TX","https://en.wikipedia.org/wiki/Hawkins,_TX","Epsilon Upsilon","1973","Shreveport, LA","https://en.wikipedia.org/wiki/Shreveport,_LA","Zeta Beta","Beaumont, TX","https://en.wikipedia.org/wiki/Beaumont,_TX","Active","Zeta Zeta","April 6, 1974","Nacogdoches, TX","https://en.wikipedia.org/wiki/Nacogdoches,_TX","Active","Zeta Iota","November 13, 1973","March 9, 1937","Denton, TX","https://en.wikipedia.org/wiki/Denton,_TX","Active","Zeta Rho","","December 30, 1952","Houston, TX","https://en.wikipedia.org/wiki/Houston,_TX","Inactive","Eta Zeta","October 13, 1975","Natchitoches, LA","https://en.wikipedia.org/wiki/Natchitoches,_LA","Active","Theta","Texas City, TX","https://en.wikipedia.org/wiki/Texas_City,_TX","Active","Theta Pi","1976","Commerce, TX","https://en.wikipedia.org/wiki/Commerce,_TX","Theta Rho","1977","Austin, TX","https://en.wikipedia.org/wiki/Austin,_TX","Theta Chi","1976","Ruston, LA","https://en.wikipedia.org/wiki/Ruston,_LA","Active","Iota Iota","1976","Huntsville, TX","https://en.wikipedia.org/wiki/Huntsville,_TX","Active","Iota Lambda","March 20, 1978","Arlington, TX","https://en.wikipedia.org/wiki/Arlington,_TX","Iota Tau","1976","Lafayette, LA","https://en.wikipedia.org/wiki/Lafayette,_LA","Kappa Kappa","April 7, 1978","New Orleans, LA","https://en.wikipedia.org/wiki/New_Orleans,_LA","Kappa Tau","Baton Rouge, LA","https://en.wikipedia.org/wiki/Baton_Rouge,_LA","Active","Mu Rho","Nu Alpha","Active","Nu Zeta","Monroe, LA","https://en.wikipedia.org/wiki/Monroe,_LA","Active","Nu Omicron","Dallas, TX","https://en.wikipedia.org/wiki/Dallas,_TX","Active","Austin, TX","https://en.wikipedia.org/wiki/Austin,_TX","Thibodaux, LA","https://en.wikipedia.org/wiki/Thibodaux,_LA","Waco, TX","https://en.wikipedia.org/wiki/Waco,_TX"
"","","","","Alumni chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=10","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha Alpha Sigma","November 18, 1933","Active","Fort Hood, TX  (Phantom Warrior Chapter)","Alpha Beta Sigma","Beaumont, TX","https://en.wikipedia.org/wiki/Beaumont,_TX","Active","Alpha Gamma Sigma","?","Houston, TX","https://en.wikipedia.org/wiki/Houston,_TX","Active","Alpha Zeta Sigma","Marshall, TX","https://en.wikipedia.org/wiki/Marshall,_TX","Alpha Theta Sigma","March 4, 1939","Tyler, TX","https://en.wikipedia.org/wiki/Tyler,_TX","Active","Alpha Xi Sigma","?","Active","","","","","Alpha Sigma Sigma","1953","Fort Worth, TX","https://en.wikipedia.org/wiki/Fort_Worth,_TX","","","Alpha Tau Sigma","?","Shreveport, LA","https://en.wikipedia.org/wiki/Shreveport,_LA","Active","Beta Beta Sigma","December 26, 1926","Prairie View, TX","https://en.wikipedia.org/wiki/Prairie_View,_TX","Beta Eta Sigma","?","Sherman, TX","https://en.wikipedia.org/wiki/Sherman,_TX","Beta Tau Sigma","?","San Antonio, TX","https://en.wikipedia.org/wiki/San_Antonio,_TX","Gamma Iota Sigma","Grambling, LA","https://en.wikipedia.org/wiki/Grambling,_LA","Gamma Omicron Sigma","Texarkana, TX","https://en.wikipedia.org/wiki/Texarkana,_TX","Gamma Tau Sigma","?","Lake Charles, LA","https://en.wikipedia.org/wiki/Lake_Charles,_LA","Active","Delta Chi Sigma","?","Waco, TX","https://en.wikipedia.org/wiki/Waco,_TX","Active","Epsilon Kappa Sigma","Amarillo, TX","https://en.wikipedia.org/wiki/Amarillo,_TX","Zeta Xi Sigma","1978","Alexandria, LA","https://en.wikipedia.org/wiki/Alexandria,_LA","Eta Pi Sigma","La Marque, TX","https://en.wikipedia.org/wiki/La_Marque,_TX","Inactive","Eta Rho Sigma","1981","Missouri City, TX","https://en.wikipedia.org/wiki/Missouri_City,_TX","Theta Beta Sigma","?","Baton Rouge, LA","https://en.wikipedia.org/wiki/Baton_Rouge,_LA","Theta Delta Sigma","Huntsville, TX","https://en.wikipedia.org/wiki/Huntsville,_TX","Active","Theta Theta Sigma","?","New Orleans, LA","https://en.wikipedia.org/wiki/New_Orleans,_LA","Active","Theta Mu Sigma","?","?","Killeen, TX","https://en.wikipedia.org/wiki/Killeen,_TX","Active","Theta Pi Sigma","?","?","El Paso, TX","https://en.wikipedia.org/wiki/El_Paso,_TX","Active","Theta Psi Sigma","?","Dallas, TX","https://en.wikipedia.org/wiki/Dallas,_TX","Active","Iota Epsilon Sigma","Monroe, LA","https://en.wikipedia.org/wiki/Monroe,_LA","Active","Iota Mu Sigma","?","Longview, TX","https://en.wikipedia.org/wiki/Longview,_TX","Iota Xi Sigma","?","Opelousas, LA","https://en.wikipedia.org/wiki/Opelousas,_LA","Iota Sigma Sigma","?","Arlington, TX","https://en.wikipedia.org/wiki/Arlington,_TX","Active","Iota Upsilon Sigma","?","Lafayette, LA","https://en.wikipedia.org/wiki/Lafayette,_LA","Active","Kappa Psi Sigma","February 3, 1999","Leesville, LA","https://en.wikipedia.org/wiki/Leesville,_LA","Nu Nu Sigma","?","Many, LA","https://en.wikipedia.org/wiki/Many,_LA","Omicron Sigma","1933","Hammond, LA","https://en.wikipedia.org/wiki/Hammond,_LA","Omicron Beta Sigma","Albuquerque, NM","https://en.wikipedia.org/wiki/Albuquerque,_NM","Active","Sigma Theta Sigma","Psi Beta Sigma","Active","","Lewisville, TX","https://en.wikipedia.org/wiki/Lewisville,_TX","","","Baton Rouge, LA","https://en.wikipedia.org/wiki/Baton_Rouge,_LA","","The Woodlands, TX","https://en.wikipedia.org/wiki/The_Woodlands,_TX","Austin, TX","https://en.wikipedia.org/wiki/Austin,_TX","",""
"","","","","Southeastern","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=11","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
