"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6"
"Omicron Omega","1984","Richmond","https://en.wikipedia.org/wiki/Richmond,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Pi Omega","1984","New York City","https://en.wikipedia.org/wiki/New_York_City","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]",""
"Rho Omega","1984","Springfield","https://en.wikipedia.org/wiki/Springfield,_Massachusetts","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]",""
"Sigma Omega","","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","64","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:7-78","[","]",""
"Tau Omega","1985","Norwich","https://en.wikipedia.org/wiki/Norwich,_Connecticut","Hartford","https://en.wikipedia.org/wiki/Hartford,_Connecticut","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]","and"
"Upsilon Omega","1987","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","California","https://en.wikipedia.org/wiki/California","Active","63","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:6-77","[","]",""
"Phi Omega","1987","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","","","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]","Springfield and"
"Chi Omega","1989","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Lafayette Hill","https://en.wikipedia.org/wiki/Lafayette_Hill,_Pennsylvania","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]","and"
"Psi Omega","1989","Columbia","https://en.wikipedia.org/wiki/Columbia,_Maryland","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Alpha Alpha Omega","1993","Indianapolis","https://en.wikipedia.org/wiki/Indianapolis","Indiana","https://en.wikipedia.org/wiki/Indiana","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Alpha Beta Omega","1996","Denver","https://en.wikipedia.org/wiki/Denver","Colorado","https://en.wikipedia.org/wiki/Colorado","Active","","","","",""
"Alpha Gamma Omega","1996","Detroit","https://en.wikipedia.org/wiki/Detroit","Michigan","https://en.wikipedia.org/wiki/Michigan","Active","","","","",""
"Alpha Delta Omega","1999","Milwaukee","https://en.wikipedia.org/wiki/Milwaukee","Wisconsin","https://en.wikipedia.org/wiki/Wisconsin","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Alpha Epsilon Omega","1999","Raleigh","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","Durham","https://en.wikipedia.org/wiki/Durham,_North_Carolina","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",", , and"
"Alpha Zeta Omega","2000","San Jose","https://en.wikipedia.org/wiki/San_Jose,_California","California","https://en.wikipedia.org/wiki/California","Active","","","","",""
"Alpha Eta Omega","2000","Columbus","https://en.wikipedia.org/wiki/Columbus,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","4","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:0-4","[","]",""
"Alpha Theta Omega","2001","South Side Chicago","https://en.wikipedia.org/wiki/South_Side,_Chicago","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Alpha Iota Omega","","","","","","Memorial","","","","",""
"Alpha Kappa Omega","2003","Lincoln","https://en.wikipedia.org/wiki/Lincoln,_Nebraska","Nebraska","https://en.wikipedia.org/wiki/Nebraska","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Alpha Lambda Omega","2003","Miami","https://en.wikipedia.org/wiki/Miami","Florida","https://en.wikipedia.org/wiki/Florida","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Alpha Mu Omega","September 8, 2003","Dallas","https://en.wikipedia.org/wiki/Dallas","Fort Worth","https://en.wikipedia.org/wiki/Fort_Worth,_Texas","Active","64","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:7-78","[","]","and"
"Alpha Nu Omega","August 1, 2003","Houston","https://en.wikipedia.org/wiki/Houston","Texas","https://en.wikipedia.org/wiki/Texas","Active","64","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:7-78","[","]",""
"Alpha Xi Omega","2003","Rancocas","https://en.wikipedia.org/wiki/Rancocas,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]",""
"Alpha Omicron Omega","2004","Fayetteville","https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina","Fort Bragg","https://en.wikipedia.org/wiki/Fort_Bragg","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",", , and"
"Alpha Pi Omega","2004","Montgomery","https://en.wikipedia.org/wiki/Montgomery,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Alpha Rho Omega","2004","Seoul","https://en.wikipedia.org/wiki/Seoul","South Korea","https://en.wikipedia.org/wiki/South_Korea","Active","","","","",""
"Alpha Sigma Omega","2006","Northwest Indiana","https://en.wikipedia.org/wiki/Northwest_Indiana","Indiana","https://en.wikipedia.org/wiki/Indiana","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Alpha Tau Omega","2006","Saint Louis","https://en.wikipedia.org/wiki/St._Louis","Missouri","https://en.wikipedia.org/wiki/Missouri","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Alpha Upsilon Omega","2007","Seattle","https://en.wikipedia.org/wiki/Seattle","Washington","https://en.wikipedia.org/wiki/Washington_(state)","Active","63","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:6-77","[","]",""
"Alpha Phi Omega","2007","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","",""
"Alpha Chi Omega","2007","Columbia","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Alpha Psi Omega","2007","Hattiesburg","https://en.wikipedia.org/wiki/Hattiesburg,_Mississippi","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Alpha Omega Omega","","Baton Rouge","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","64","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:7-78","[","]",""
"Beta Alpha Omega","2006","Northern Virginia","https://en.wikipedia.org/wiki/Northern_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Beta Beta Omega","2007","Greenville","https://en.wikipedia.org/wiki/Greenville,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Beta Gamma Omega","2007","Virginia","https://en.wikipedia.org/wiki/Virginia","","","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Beta Delta Omega","2008","Sacramento","https://en.wikipedia.org/wiki/Sacramento,_California","California","https://en.wikipedia.org/wiki/California","Active","","","","",""
"Beta Epsilon Omega","2008","Delaware","https://en.wikipedia.org/wiki/Delaware","","","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]","statewide"
"Beta Zeta Omega","2008","Victorville","https://en.wikipedia.org/wiki/Victorville,_California","California","https://en.wikipedia.org/wiki/California","Active","63","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:6-77","[","]",""
"Beta Eta Omega","2008","Savannah","https://en.wikipedia.org/wiki/Savannah,_Georgia","Fort Stewart","https://en.wikipedia.org/wiki/Fort_Stewart","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]","and"
"Beta Theta Omega","2009","Pittsburgh","https://en.wikipedia.org/wiki/Pittsburgh","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]",""
"Beta Iota Omega","2009","Omaha","https://en.wikipedia.org/wiki/Omaha,_Nebraska","Nebraska","https://en.wikipedia.org/wiki/Nebraska","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Beta Kappa Omega","February 2019","San Antonio","https://en.wikipedia.org/wiki/San_Antonio","Texas","https://en.wikipedia.org/wiki/Texas","Active","64","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:7-78","[","]",""
"Beta Lambda Omega","2009","Cleveland","https://en.wikipedia.org/wiki/Cleveland","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","",""
"Beta Mu Omega","2009","Tallahassee","https://en.wikipedia.org/wiki/Tallahassee,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Beta Nu Omega","2009","Fort Knox","https://en.wikipedia.org/wiki/Fort_Knox","Louisville","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Active","","","","","and"
"Beta Xi Omega","2009","Memphis","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","",""
"Beta Omicron Omega","2009","Pittsburgh","https://en.wikipedia.org/wiki/Pittsburgh","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]",""
"Beta Pi Omega","2009","Okinawa","https://en.wikipedia.org/wiki/Okinawa_Prefecture","Japan","https://en.wikipedia.org/wiki/Japan","Active","63","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:6-77","[","]",""
"Beta Rho Omega","2009","Long Island","https://en.wikipedia.org/wiki/Long_Island","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]",""
"Beta Sigma Omega","2009","Evanston","https://en.wikipedia.org/wiki/Evanston,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Beta Tau Omega","2009","Maryland","https://en.wikipedia.org/wiki/Maryland","","","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Beta Upsilon Omega","2010","Gwinnett County","https://en.wikipedia.org/wiki/Gwinnett_County,_Georgia","Douglasville","https://en.wikipedia.org/wiki/Douglasville,_Georgia","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]","and"
"Beta Phi Omega","","Prince George's County","https://en.wikipedia.org/wiki/Prince_George%27s_County,_Maryland","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Beta Chi Omega","July 23, 2010","Little Rock","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","Arkansas","https://en.wikipedia.org/wiki/Arkansas","Active","64","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:7-78","[","]",""
"Beta Psi Omega","October 1, 2010","DeKalb County","https://en.wikipedia.org/wiki/DeKalb_County,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","66","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-80","[","]",""
"Beta Omega Omega","2011","Dayton","https://en.wikipedia.org/wiki/Dayton,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","",""
"Gamma Alpha Omega","2011","Killeen","https://en.wikipedia.org/wiki/Killeen,_Texas","Austin","https://en.wikipedia.org/wiki/Austin,_Texas","Active","64","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:7-78","[","]",", , and"
"Gamma Beta Omega","2011","Las Vegas","https://en.wikipedia.org/wiki/Las_Vegas","Nevada","https://en.wikipedia.org/wiki/Nevada","Active","63","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:6-77","[","]",""
"Gamma Gamma Omega","2011","Lakewood","https://en.wikipedia.org/wiki/Lakewood,_California","California","https://en.wikipedia.org/wiki/California","Active","63","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:6-77","[","]",""
"Gamma Delta Omega","2011","Brandon","https://en.wikipedia.org/wiki/Brandon,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Gamma Epsilon Omega","2011","Winter Park","https://en.wikipedia.org/wiki/Winter_Park,_Florida","Orlando","https://en.wikipedia.org/wiki/Orlando,_Florida","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]","and"
"Gamma Zeta Omega","2012","Montclair","https://en.wikipedia.org/wiki/Montclair,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]",""
"Gamma Eta Omega","2012","Henrico County","https://en.wikipedia.org/wiki/Henrico_County,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Gamma Theta Omega","2012","Minneapolis","https://en.wikipedia.org/wiki/Minneapolis","St. Paul","https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]","and"
"Gamma Iota Omega","2012","Kansas City","https://en.wikipedia.org/wiki/Kansas_City,_Missouri","Missouri","https://en.wikipedia.org/wiki/Missouri","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Gamma Kappa Omega","2012","Augusta","https://en.wikipedia.org/wiki/Augusta,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Gamma Lambda Omega","2013","Piedmont Triad","https://en.wikipedia.org/wiki/Piedmont_Triad","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Gamma Mu Omega","2013","Jacksonville","https://en.wikipedia.org/wiki/Jacksonville,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Gamma Nu Omega","2013","Huntersville","https://en.wikipedia.org/wiki/Huntersville,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Gamma Xi Omega","2013","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","",""
"Gamma Omicron Omega","2013","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Gamma Pi Omega","2014","Joliet","https://en.wikipedia.org/wiki/Joliet,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Gamma Rho Omega","2014","Akron","https://en.wikipedia.org/wiki/Akron,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","",""
"Gamma Sigma Omega","2015","Phoenix","https://en.wikipedia.org/wiki/Phoenix,_Arizona","Arizona","https://en.wikipedia.org/wiki/Arizona","Active","63","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:6-77","[","]",""
"Gamma Tau Omega","2015","Huntsville","https://en.wikipedia.org/wiki/Huntsville,_Alabama","Harvest","https://en.wikipedia.org/wiki/Harvest,_Alabama","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]","and"
"Gamma Upsilon Omega","August 15, 2018","Fort Bend County","https://en.wikipedia.org/wiki/Fort_Bend_County,_Texas","Southwest Houston","https://en.wikipedia.org/wiki/Southwest_Houston","Active","64","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:7-78","[","]",", , and"
"Gamma Phi Omega","December 5, 2018","Buffalo","https://en.wikipedia.org/wiki/Buffalo,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]",""
"Gamma Chi Omega","June 7, 2019","Chester","https://en.wikipedia.org/wiki/Chester,_Pennsylvania","Delaware County","https://en.wikipedia.org/wiki/Delaware_County,_Pennsylvania","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]","and"
"Gamma Psi Omega","October 7, 2019","Albany","https://en.wikipedia.org/wiki/Albany,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]",""
"Gamma Omega Omega","August 6, 2020","Clarksville","https://en.wikipedia.org/wiki/Clarksville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","55","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:10-69","[","]",""
"Delta Alpha Omega","August 14, 2020","Harrisburg","https://en.wikipedia.org/wiki/Harrisburg,_Pennsylvania","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]",""
"Delta Beta Omega","January 12, 2021","Charles County","https://en.wikipedia.org/wiki/Charles_County,_Maryland","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Delta Gamma Omega","May 27, 2021","Shreveport","https://en.wikipedia.org/wiki/Shreveport,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","55","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:10-69","[","]",""
"Delta Delta Omega","May 27, 2021","Carroll County","https://en.wikipedia.org/wiki/Carroll_County,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Delta Epsilon Omega","May 27, 2021","Louisville","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Frankfort","https://en.wikipedia.org/wiki/Frankfort,_Kentucky","Active","55","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:10-69","[","]","and"
"Delta Zeta Omega","May 27, 2021","Camden","https://en.wikipedia.org/wiki/Camden,_New_Jersey","Gloucester County","https://en.wikipedia.org/wiki/Gloucester_County,_New_Jersey","Active","55","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:10-69","[","]","and"
"Delta Eta Omega","June 18, 2021","Birmingham","https://en.wikipedia.org/wiki/Birmingham,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Delta Xi Omega","February 24, 2024","Tucson","https://en.wikipedia.org/wiki/Tucson,_Arizona","Arizona","https://en.wikipedia.org/wiki/Arizona","Active","","","","",""
