"tablescraper-selected-row","tablescraper-selected-row 4","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"1374","Lambda Omega","May 3, 1923","Norfolk, Virginia","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1375","Mu Omega","May 23, 1923","","","Active","46","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:5-79","[","]"
"1380","Rho Omega","September 2, 1923","Shreveport, Louisiana","https://en.wikipedia.org/wiki/Shreveport,_Louisiana","Active","23","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:18-36","[","]"
"1366","Gamma Omega","October 1, 1923","Lynchburg, Virginia","https://en.wikipedia.org/wiki/Lynchburg,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1369","Zeta Omega","October 1, 1923","","","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]"
"1377","Xi Omega","October 1, 1923","Tulsa, Oklahoma","https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","Active","22","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:20-35","[","]"
"1378","Omicron Omega","October 1, 1923","Lawrenceville, Virginia","https://en.wikipedia.org/wiki/Lawrenceville,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1381","Sigma Omega","October 1, 1923","","","Active","21","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:22-33","[","]"
"1382","Tau Omega","October 1, 1923","Greensboro, North Carolina","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","Active","","","",""
"1372","Iota Omega","December 3, 1923","Tuskegee, Alabama","https://en.wikipedia.org/wiki/Tuskegee,_Alabama","Active","","","",""
"1367","Delta Omega","December 14, 1923","Petersburg, Virginia","https://en.wikipedia.org/wiki/Petersburg,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1387","Alpha Phi","October 1, 1924","Birmingham, Alabama","https://en.wikipedia.org/wiki/Birmingham,_Alabama","Active","51","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-88","[","]"
"1385","Chi Omega","December 15, 1924","Tallahassee, Florida","https://en.wikipedia.org/wiki/Tallahassee,_Florida","Active","","","",""
"1388","Beta Phi","December 15, 1924","Durham, North Carolina","https://en.wikipedia.org/wiki/Durham,_North_Carolina","Active","","","",""
"1391","Epsilon Phi","April 1, 1925","Memphis, Tennessee","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Active","50","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:14-86","[","]"
"1392","Zeta Phi","April 29, 1925","","","Active","11","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:11-16","[","]"
"1394","Theta Phi","May 11, 1925","Jacksonville, Florida","https://en.wikipedia.org/wiki/Jacksonville,_Florida","Active","","","",""
"1390","Delta Phi","May 14, 1925","Lawrence, Kansas","https://en.wikipedia.org/wiki/Lawrence,_Kansas","Active","","","",""
"1393","Eta Phi","July 1, 1925","","","Active","","","",""
"1386","Psi Omega","August 9, 1925","Augusta, Georgia","https://en.wikipedia.org/wiki/Augusta,_Georgia","Active","","","",""
"1389","Gamma Phi","October 1, 1925","Nashville, Tennessee","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Active","50","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:14-86","[","]"
"1395","Iota Phi","October 1, 1925","","","Active","","","",""
"1397","Lambda Phi","October 1, 1926","Macon, Georgia","https://en.wikipedia.org/wiki/Macon,_Georgia","Active","","","",""
"1398","Mu Phi","October 1, 1926","Savannah, Georgia","https://en.wikipedia.org/wiki/Savannah,_Georgia","Active","","","",""
"1399","Nu Phi","October 1, 1926","","","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1400","Xi Phi","November 11, 1926","Harlem","https://en.wikipedia.org/wiki/Harlem","Active","","","",""
"1401","Omicron Phi","November 17, 1926","Columbia, South Carolina","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","Active","","","",""
"1402","Pi Phi","January 27, 1927","Charlotte, North Carolina","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","Active","","","",""
"1405","Tau Phi","March 15, 1927","Pine Bluff, Arkansas","https://en.wikipedia.org/wiki/Pine_Bluff,_Arkansas","Active","26","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:17-40","[","]"
"1404","Sigma Phi","April 16, 1927","Montgomery, Alabama","https://en.wikipedia.org/wiki/Montgomery,_Alabama","Active","","","",""
"1403","Rho Phi","October 1, 1927","","","Active","23","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:18-36","[","]"
"1407","Phi Phi","October 1, 1927","Richmond, Virginia","https://en.wikipedia.org/wiki/Richmond,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1406","Upsilon Phi","October 27, 1927","Newark, New Jersey","https://en.wikipedia.org/wiki/Newark,_New_Jersey","Active","","","",""
"1408","Chi Phi","December 27, 1927","","","Active","","","",""
"1409","Psi Phi","January 23, 1932","Winston-Salem, North Carolina","https://en.wikipedia.org/wiki/Winston-Salem,_North_Carolina","Active","","","",""
"1410","Alpha Alpha","October 1, 1932","Newport News, Virginia","https://en.wikipedia.org/wiki/Newport_News,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1414","Epsilon Alpha","October 1, 1932","Fort Worth, Texas","https://en.wikipedia.org/wiki/Fort_Worth,_Texas","Active","52","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-89","[","]"
"1412","Gamma Alpha","April 4, 1933","Roanoke Valley","https://en.wikipedia.org/wiki/Roanoke_Valley","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1411","Beta Alpha","October 1, 1933","Jackson, Mississippi","https://en.wikipedia.org/wiki/Jackson,_Mississippi","Active","","","",""
"1413","Delta Alpha","June 1, 1934","Dayton, Ohio","https://en.wikipedia.org/wiki/Dayton,_Ohio","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]"
"1415","Zeta Alpha","October 1, 1934","Henderson, North Carolina","https://en.wikipedia.org/wiki/Henderson,_North_Carolina","Active","","","",""
"1416","Eta Alpha","October 1, 1934","Jefferson City, Missouri","https://en.wikipedia.org/wiki/Jefferson_City,_Missouri","Active","","","",""
"1418","Iota Alpha","April 19, 1935","Knoxville, Tennessee","https://en.wikipedia.org/wiki/Knoxville,_Tennessee","Active","50","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:14-86","[","]"
"1419","Kappa Alpha","May 9, 1935","Rock Hill, South Carolina","https://en.wikipedia.org/wiki/Rock_Hill,_South_Carolina","Active","","","",""
"1417","Theta Alpha","October 1, 1935","","","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1420","Lambda Alpha","May 8, 1936","Baton Rouge, Louisiana","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Active","23","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:18-36","[","]"
"1423","Xi Alpha","October 1, 1936","Institute, West Virginia","https://en.wikipedia.org/wiki/Institute,_West_Virginia","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]"
"1424","Omicron Alpha","December 1, 1936","Wilmington, North Carolina","https://en.wikipedia.org/wiki/Wilmington,_North_Carolina","Active","","","",""
"1422","Nu Alpha","December 5, 1936","Plymouth, North Carolina","https://en.wikipedia.org/wiki/Plymouth,_North_Carolina","Active","","","",""
"1425","Pi Alpha","January 28, 1938","Princess Anne, Maryland","https://en.wikipedia.org/wiki/Princess_Anne,_Maryland","Active","","","",""
"1426","Rho Alpha","March 15, 1938","Mobile, Alabama","https://en.wikipedia.org/wiki/Mobile,_Alabama","Active","","","",""
"1421","Mu Alpha","August 6, 1938","Charleston, South Carolina","https://en.wikipedia.org/wiki/Charleston,_South_Carolina","Active","","","",""
"1427","Sigma Alpha","March 13, 1939","","","Active","","","",""
"1428","Tau Alpha","October 1, 1939","Salisbury, North Carolina","https://en.wikipedia.org/wiki/Salisbury,_North_Carolina","Active","","","",""
"1429","Upsilon Alpha","October 1, 1939","Atlantic City, New Jersey","https://en.wikipedia.org/wiki/Atlantic_City,_New_Jersey","Active","","","",""
"1431","Chi Alpha","October 1, 1939","Charleston, West Virginia","https://en.wikipedia.org/wiki/Charleston,_West_Virginia","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]"
"1434","Beta Iota","June 25, 1940","Cincinnati, Ohio","https://en.wikipedia.org/wiki/Cincinnati","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]"
"1433","Alpha Iota","October 1, 1940","Suffolk, Virginia","https://en.wikipedia.org/wiki/Suffolk,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1435","Gamma Iota","October 1, 1940","Sumter, South Carolina","https://en.wikipedia.org/wiki/Sumter,_South_Carolina","Active","","","",""
"","","","Darlington, South Carolina","https://en.wikipedia.org/wiki/Darlington,_South_Carolina","","","","",""
"1430","Phi Alpha","October 3, 1940","Greer, South Carolina","https://en.wikipedia.org/wiki/Greer,_South_Carolina","Active","","","",""
"1432","Psi Alpha","November 1, 1940","","","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1436","Delta Iota","March 27, 1941","Elizabeth City, North Carolina","https://en.wikipedia.org/wiki/Elizabeth_City,_North_Carolina","Active","","","",""
"1437","Epsilon Iota","April 23, 1941","Austin, Texas","https://en.wikipedia.org/wiki/Austin,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1438","Zeta Iota","October 1, 1941","Portsmouth, Virginia","https://en.wikipedia.org/wiki/Portsmouth,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1439","Eta Iota","April 10, 1942","","","Active","22","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:20-35","[","]"
"1441","Iota Iota","May 31, 1944","Raleigh, North Carolina","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","Active","","","",""
"1440","Theta Iota","October 1, 1944","Jackson, Tennessee","https://en.wikipedia.org/wiki/Jackson,_Tennessee","Active","50","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:14-86","[","]"
"1443","Lambda Iota","May 14, 1945","Columbus, Georgia","https://en.wikipedia.org/wiki/Columbus,_Georgia","Active","","","",""
"1444","Mu Iota","June 1, 1945","Columbus, Ohio","https://en.wikipedia.org/wiki/Columbus,_Ohio","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]"
"1442","Kappa Iota","October 1, 1945","Chattanooga, Tennessee","https://en.wikipedia.org/wiki/Chattanooga,_Tennessee","Active","50","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:14-86","[","]"
"1445","Nu Iota","October 1, 1945","Marshall, Texas","https://en.wikipedia.org/wiki/Marshall,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1450","Sigma Iota","May 14, 1946","Oakland, California","https://en.wikipedia.org/wiki/Oakland,_California","Active","17","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:27-25","[","]"
"1448","Pi Iota","June 15, 1946","Tampa, Florida","https://en.wikipedia.org/wiki/Tampa,_Florida","Active","","","",""
"1451","Tau Iota","June 29, 1946","Hartford, Connecticut","https://en.wikipedia.org/wiki/Hartford,_Connecticut","Active","","","",""
"1447","Omicron Iota","October 1, 1946","New Rochelle, New York","https://en.wikipedia.org/wiki/New_Rochelle,_New_York","Active","","","",""
"1449","Rho Iota","October 1, 1946","Danville, Virginia","https://en.wikipedia.org/wiki/Danville,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1453","Phi Iota","October 1, 1946","Phoenix, Arizona","https://en.wikipedia.org/wiki/Phoenix,_Arizona","Active","17","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:27-25","[","]"
"1452","Upsilon Iota","October 21, 1946","Langston, Oklahoma","https://en.wikipedia.org/wiki/Langston,_Oklahoma","Active","22","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:20-35","[","]"
"1454","Chi Iota","November 16, 1946","Florence, South Carolina","https://en.wikipedia.org/wiki/Florence,_South_Carolina","Active","","","",""
"1455","Psi Iota","November 16, 1946","Dover, Delaware","https://en.wikipedia.org/wiki/Dover,_Delaware","Active","","","",""
"1456","Alpha Omicron","November 26, 1946","Rocky Mount, North Carolina","https://en.wikipedia.org/wiki/Rocky_Mount,_North_Carolina","Active","","","",""
"1458","Gamma Omicron","December 2, 1946","Minden, Louisiana","https://en.wikipedia.org/wiki/Minden,_Louisiana","Active","23","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:18-36","[","]"
"1466","Lambda Omicron","December 16, 1946","","","Active","17","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:27-25","[","]"
"1471","Pi Omicron","December 17, 1946","Little Rock, Arkansas","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","Active","26","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:17-40","[","]"
"1460","","February 16, 1947","Wichita Falls, Texas","https://en.wikipedia.org/wiki/Wichita_Falls,_Texas","Inactive","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1462","Eta Omicron","April 11, 1947","Albany, Georgia","https://en.wikipedia.org/wiki/Albany,_Georgia","Active","","","",""
"1467","Mu Omicron","August 3, 1947","Des Moines, Iowa","https://en.wikipedia.org/wiki/Des_Moines,_Iowa","Active","","","",""
"1477","Chi Omicron","September 9, 1947","New Haven, Connecticut","https://en.wikipedia.org/wiki/New_Haven,_Connecticut","Active","12","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:8-17","[","]"
"1461","Zeta Omicron","October 1, 1947","Hampton, Virginia","https://en.wikipedia.org/wiki/Hampton,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1468","Nu Omicron","October 1, 1947","","","Active","","","",""
"1470","Omicron Omicron","March 21, 1948","Daytona Beach, Florida","https://en.wikipedia.org/wiki/Daytona_Beach,_Florida","Active","","","",""
"1469","Xi Omicron","May 30, 1948","Huntsville, Alabama","https://en.wikipedia.org/wiki/Huntsville,_Alabama","Active","","","",""
"1465","Kappa Omicron","September 25, 1948","","","Active","","","",""
"1459","Delta Omicron","October 1, 1948","Beaumont, Texas","https://en.wikipedia.org/wiki/Beaumont,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1464","Iota Omicron","October 1, 1948","Clarksdale, Mississippi","https://en.wikipedia.org/wiki/Clarksdale,_Mississippi","Active","","","",""
"1472","Rho Omicron","October 1, 1948","New Iberia, Louisiana","https://en.wikipedia.org/wiki/New_Iberia,_Louisiana","Active","23","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:18-36","[","]"
"1473","Sigma Omicron","October 1, 1948","Tyler, Texas","https://en.wikipedia.org/wiki/Tyler,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1474","Tau Omicron","October 1, 1948","Martinsville, Virginia","https://en.wikipedia.org/wiki/Martinsville,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1478","Psi Omicron","June 15, 1949","Youngstown, Ohio","https://en.wikipedia.org/wiki/Youngstown,_Ohio","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]"
"1479","Alpha Upsilon","October 1, 1949","","","Active","54","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-92","[","]"
"1476","Phi Omicron","November 1, 1949","","","Active","17","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:27-25","[","]"
"1480","Beta Upsilon","December 28, 1949","Omaha, Nebraska","https://en.wikipedia.org/wiki/Omaha,_Nebraska","Active","","","",""
"1481","Gamma Upsilon","December 29, 1949","Wichita, Kansas","https://en.wikipedia.org/wiki/Wichita,_Kansas","Active","","","",""
"1488","Kappa Upsilon","January 28, 1950","West Palm Beach, Florida","https://en.wikipedia.org/wiki/West_Palm_Beach,_Florida","Active","","","",""
"1482","Delta Upsilon","January 30, 1950","Trenton, New Jersey","https://en.wikipedia.org/wiki/Trenton,_New_Jersey","Active","","","",""
"1483","Epsilon Upsilon","March 8, 1950","Gastonia, North Carolina","https://en.wikipedia.org/wiki/Gastonia,_North_Carolina","Active","","","",""
"1484","Zeta Upsilon","July 10, 1950","Renton, Washington","https://en.wikipedia.org/wiki/Renton,_Washington","Active","17","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:27-25","[","]"
"1485","Eta Upsilon","July 19, 1950","Bettendorf, Iowa","https://en.wikipedia.org/wiki/Bettendorf,_Iowa","Active","","","",""
"1486","Theta Upsilon","November 28, 1950","Texarkana, Texas","https://en.wikipedia.org/wiki/Texarkana,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1489","Lambda Upsilon","February 15, 1951","Paterson, New Jersey","https://en.wikipedia.org/wiki/Paterson,_New_Jersey","Active","","","",""
"1490","","April 21, 1951","Denmark, South Carolina","https://en.wikipedia.org/wiki/Denmark,_South_Carolina","Inactive","","","",""
"1491","Nu Upsilon","August 18, 1951","Wilmington, Delaware","https://en.wikipedia.org/wiki/Wilmington,_Delaware","Active","","","",""
"1492","Xi Upsilon","February 7, 1952","Port Arthur, Texas","https://en.wikipedia.org/wiki/Port_Arthur,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1493","Omicron Upsilon","March 13, 1952","Waco, Texas","https://en.wikipedia.org/wiki/Waco,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1498","Upsilon Upsilon","May 1, 1952","Skelton, West Virginia","https://en.wikipedia.org/wiki/Skelton,_West_Virginia","Active","","","",""
"1496","Sigma Upsilon","May 17, 1952","Lansing, Michigan","https://en.wikipedia.org/wiki/Lansing,_Michigan","Active","13","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:26-19","[","]"
"1497","Tau Upsilon","May 17, 1952","Carbondale, Illinois","https://en.wikipedia.org/wiki/Carbondale,_Illinois","Active","21","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:22-33","[","]"
"1499","","June 15, 1952","Asbury Park, New Jersey","https://en.wikipedia.org/wiki/Asbury_Park,_New_Jersey","Moved","g","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-93","[","]"
"","","","Neptune Township, New Jersey","https://en.wikipedia.org/wiki/Neptune_Township,_New_Jersey","","","","",""
"","","","West Long Branch, New Jersey","https://en.wikipedia.org/wiki/West_Long_Branch,_New_Jersey","","","","",""
"1501","Psi Upsilon","July 5, 1952","Lawton, Oklahoma","https://en.wikipedia.org/wiki/Lawton,_Oklahoma","Active","22","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:20-35","[","]"
"1500","Chi Upsilon","July 15, 1952","Camden, New Jersey","https://en.wikipedia.org/wiki/Camden,_New_Jersey","Active","","","",""
"1487","Iota Upsilon","July 17, 1952","D'Iberville, Mississippi","https://en.wikipedia.org/wiki/D%27Iberville,_Mississippi","Active","","","",""
"1495","Rho Upsilon","March 23, 1953","Bridgeport, Connecticut","https://en.wikipedia.org/wiki/Bridgeport,_Connecticut","Active","","","",""
"1396","Kappa Phi","April 15, 1953","","","Active","","","",""
"1502","Alpha Chi","July 7, 1953","Gary, Indiana","https://en.wikipedia.org/wiki/Gary,_Indiana","Active","55","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-94","[","]"
"1503","Beta Chi","October 2, 1953","Fayetteville, North Carolina","https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina","Active","","","",""
"1504","Gamma Chi","November 20, 1953","Corpus Christi, Texas","https://en.wikipedia.org/wiki/Corpus_Christi,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1494","Pi Upsilon","February 17, 1954","Hawkins, Texas","https://en.wikipedia.org/wiki/Hawkins,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1505","Delta Chi","April 1, 1954","Springfield, Massachusetts","https://en.wikipedia.org/wiki/Springfield,_Massachusetts","Active","","","",""
"1506","Epsilon Chi","April 1, 1954","Alexandria, Louisiana","https://en.wikipedia.org/wiki/Alexandria,_Louisiana","Active","23","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:18-36","[","]"
"1507","Zeta Chi","April 26, 1954","Fort Lauderdale, Florida","https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida","Active","","","",""
"1446","Xi Iota","July 1, 1954","Charlottesville, Virginia","https://en.wikipedia.org/wiki/Charlottesville,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]"
"1475","Upsilon Omicron","July 10, 1954","Asheville, North Carolina","https://en.wikipedia.org/wiki/Asheville,_North_Carolina","Active","","","",""
"1516","Omicron Chi","January 1, 1955","Plainfield, New Jersey","https://en.wikipedia.org/wiki/Plainfield,_New_Jersey","Active","","","",""
"1509","Theta Chi","February 1, 1955","Prairie View, Texas","https://en.wikipedia.org/wiki/Prairie_View,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1510","Iota Chi","February 1, 1955","Cambridge, Massachusetts","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts","Active","","","",""
"1511","Kappa Chi","March 1, 1955","Magnolia, Arkansas","https://en.wikipedia.org/wiki/Magnolia,_Arkansas","Active","26","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:17-40","[","]"
"1508","Eta Chi","April 1, 1955","Longview, Texas","https://en.wikipedia.org/wiki/Longview,_Texas","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]"
"1513","Mu Chi","April 5, 1955","Fairborn, Ohio","https://en.wikipedia.org/wiki/Fairborn,_Ohio","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]"
"1514","Nu Chi","April 10, 1955","East St. Louis, Illinois","https://en.wikipedia.org/wiki/East_St._Louis,_Illinois","Active","21","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:22-33","[","]"
"1515","Xi Chi","May 1, 1955","Akron, Ohio","https://en.wikipedia.org/wiki/Akron,_Ohio","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]"
"1518","Rho Chi","June 1, 1955","Lake Charles, Louisiana","https://en.wikipedia.org/wiki/Lake_Charles,_Louisiana","Active","23","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:18-36","[","]"
